model,entity_id,design_file,tm_norm_aa,rmsd,omegafold_confidence
FoldingDiff,009dc641-d2bb-42f4-9b6f-9522cff21bad,FoldingDiff_len86_009dc641-d2bb-42f4-9b6f-9522cff21bad_design1.pdb,0.6329642583692701,5.73825858557946,74.24941860465115
FoldingDiff,00b71834-f866-4ece-ad00-fdc3688314e7,FoldingDiff_len128_00b71834-f866-4ece-ad00-fdc3688314e7_design10.pdb,0.2911709589626381,22.564143662537536,64.30617187499999
FoldingDiff,00b889fa-4e55-4206-8a37-66547132ee58,FoldingDiff_len64_00b889fa-4e55-4206-8a37-66547132ee58_design8.pdb,0.5704674943621082,6.861635986857485,88.17671874999999
FoldingDiff,00d7d1b5-b80e-43a9-bc7e-3c06234c7bee,FoldingDiff_len119_00d7d1b5-b80e-43a9-bc7e-3c06234c7bee_design4.pdb,0.1946555627994121,31.130428015859824,70.64949579831934
FoldingDiff,00f38e07-c856-45ee-b9d9-ee80d2b1beea,FoldingDiff_len57_00f38e07-c856-45ee-b9d9-ee80d2b1beea_design10.pdb,0.6425329685278773,3.7926723131355873,94.78631578947368
FoldingDiff,010c37e5-9286-4dcf-8b11-8fa97b91a52b,FoldingDiff_len70_010c37e5-9286-4dcf-8b11-8fa97b91a52b_design8.pdb,0.2636199021501991,14.707259931702463,59.69914285714287
FoldingDiff,011e51f3-d0fa-461f-9ccd-0b63ebba75f0,FoldingDiff_len72_011e51f3-d0fa-461f-9ccd-0b63ebba75f0_design8.pdb,0.419710563417052,14.077401682075056,68.34611111111111
FoldingDiff,0147b1d1-b4db-44da-9dc9-96bc04520dce,FoldingDiff_len83_0147b1d1-b4db-44da-9dc9-96bc04520dce_design6.pdb,0.2293206810774604,19.933617715077297,64.68481927710843
FoldingDiff,015ce9b4-68c7-4528-9411-095b65d45c0e,FoldingDiff_len124_015ce9b4-68c7-4528-9411-095b65d45c0e_design3.pdb,0.2886704125893333,21.85218207967216,70.65338709677418
FoldingDiff,0190ae60-06b1-4f62-9532-c9150cb8254a,FoldingDiff_len110_0190ae60-06b1-4f62-9532-c9150cb8254a_design3.pdb,0.2841134306592242,16.119251915499706,42.10427272727272
FoldingDiff,019968cf-5e09-43c6-890c-58108747ecfc,FoldingDiff_len74_019968cf-5e09-43c6-890c-58108747ecfc_design5.pdb,0.3469569392252568,12.160886515484105,53.41581081081081
